name,description,region,imageUrl,brand,specs,category,upc,ean,ean8,id_producto,categoryPath,ingredients
Corona Cerv. X 330 Ml,"La Cerveza Corona es clara y brillante, de espuma blanca y consistente. Su selección de lúpulos se manifiesta en un amargor ligero y en unas sutiles notas aromáticas. Esta cerveza de cuerpo medio, fresca, balanceada, es muy fácil de beber. La Corona es elaborada con maltas de bajo tueste para aportar su color ligero y la hace en boca moderadamente dulce y recuerda al sabor del cereal.",Outside of North America,https://go-upc.s3.amazonaws.com/images/122673639.jpeg,Corona,[],Beer,,7501064198847.0,,7501064198847,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Biferdil Shampoo Cerveza Y Miel 250 Ml,"Champú Cerveza y Miel El Champú Cerveza y Miel hidrata y da fuerza al cabello. El lúpulo presente en la cerveza contiene aminoácidos que nutren el pelo y proteínas que lo fortalecen. Además posee Vitamina B, Ácido Fólico y Biotina, que ayudan a mejorar el estado de la keratina presente en la fibra capilar. El tratamiento del cabello con cerveza estaba incluido en la rutina de belleza de los egipcios. La Miel con su contenido en oligoelementos y disacáridos es una gran aliada para nutrir y realzar el brillo del cabello. Contribuye además a atenuar los posibles daños debido a la exposición a factores externos (ambientales, químicos y mecánicos). El Champú Cerveza y Miel limpia e hidrata el cabello durante el lavado.Gracias a estos componentes el pelo lucirá más sano y brillante. Es ideal para el uso diario porque agrega volumen al cabello y lo mantiene suave y manejable.",Outside of North America,https://go-upc.s3.amazonaws.com/images/182316589.jpeg,Biferdil,[],Shampoo,,7791001010794.0,,7791001010794,"['Health & Beauty', 'Personal Care', 'Hair Care', 'Shampoo & Conditioner', 'Shampoo']",
Rigolleau Copa Balón Noruega Cerveza Granel 420 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166708611.jpeg,Rigolleau,[],,,7791822688714.0,,7791822688714,,
Brahma Cerveza 340 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166664159.jpeg,Brahma,"[['Size', '340'], ['Countries', 'Spain']]",Beer,,7792798000395.0,,7792798000395,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Iguana Cerveza 1lt,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/32573592.jpeg,Iguana,[],Beer,,7792798000708.0,,7792798000708,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Argentina Crown Bottle Caps Kronkorken Capsule Chapas,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/227396712.jpeg,,[],Bottle Caps,,7792798000838.0,,7792798000838,"['Home & Garden', 'Kitchen & Dining', 'Barware', 'Bottle Caps']",
Patagonia Cerveza Ipa 24.7 730 Ml,"Cerveza estilo Session IPA, muy tomable y refrescante, de amargor marcado otorgado por una combinación de lúpulos patagónicos. Cuenta con un intenso aroma a cítrico y frutal gracias a la técnica de agregado de lúpulo en frío llamada Dry Hopping. El agregado de sauco y miel en frio balancean el amargor del lúpulo, aportando cierta acidez y final seco. Combinación perfecta con platos con frutas, ensaladas agridulces y comida thai. Comidas con no mucha intensidad de sabor o grasa, pero sí aromáticas y especiadas. Risottos perfumados, cheesecake.",Outside of North America,https://go-upc.s3.amazonaws.com/images/33697277.jpeg,Patagonia,[],Beer,,7792798001101.0,,7792798001101,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza 473cc Lata,"La cerveza belga número 1 en ventas a nivel mundial. Stella Artois tiene una rica herencia que se remonta al año 1366 en Leuven, Bélgica, y es hoy en día el estándar de oro de la calidad en más de 80 países.",Outside of North America,https://go-upc.s3.amazonaws.com/images/37289491.png,Stella Artois,[],Beer,,7792798001293.0,,7792798001293,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza Lata 473cc 6 Un,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/114750348.jpeg,Stella Artois,[],Beer,,7792798001309.0,,7792798001309,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Quilmes Cerveza Negra Stout Lata 473 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/38172973.jpeg,Quilmes,"[['Size', '473 Ml'], ['Countries', 'Spain']]",Beer,,7792798001316.0,,7792798001316,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
